CO2 Concentration,Predicted_GPP,SW
376.475,1646.944749,157.075
376.9296263,1648.334381,157.075
377.3842525,1649.724012,157.075
377.8388788,1651.113643,157.075
378.2935051,1652.503274,157.075
378.7481313,1653.892905,157.075
379.2027576,1655.282537,157.075
379.6573838,1656.672168,157.075
380.1120101,1658.061799,157.075
380.5666364,1659.45143,157.075
381.0212626,1660.841061,157.075
381.4758889,1662.230692,157.075
381.9305152,1663.620324,157.075
382.3851414,1665.009955,157.075
382.8397677,1666.399586,157.075
383.2943939,1667.789217,157.075
383.7490202,1669.178848,157.075
384.2036465,1670.568479,157.075
384.6582727,1671.958111,157.075
385.112899,1673.347742,157.075
385.5675253,1674.737373,157.075
386.0221515,1676.127004,157.075
386.4767778,1677.516635,157.075
386.931404,1678.906267,157.075
387.3860303,1680.295898,157.075
387.8406566,1681.685529,157.075
388.2952828,1683.07516,157.075
388.7499091,1684.464791,157.075
389.2045354,1685.854422,157.075
389.6591616,1687.244054,157.075
390.1137879,1688.633685,157.075
390.5684141,1690.023316,157.075
391.0230404,1691.412947,157.075
391.4776667,1692.802578,157.075
391.9322929,1694.192209,157.075
392.3869192,1695.581841,157.075
392.8415455,1696.971472,157.075
393.2961717,1698.361103,157.075
393.750798,1699.750734,157.075
394.2054242,1701.140365,157.075
394.6600505,1702.529997,157.075
395.1146768,1703.919628,157.075
395.569303,1705.309259,157.075
396.0239293,1706.69889,157.075
396.4785556,1708.088521,157.075
396.9331818,1709.478152,157.075
397.3878081,1710.867784,157.075
397.8424343,1712.257415,157.075
398.2970606,1713.647046,157.075
398.7516869,1715.036677,157.075
399.2063131,1716.426308,157.075
399.6609394,1717.81594,157.075
400.1155657,1719.205571,157.075
400.5701919,1720.595202,157.075
401.0248182,1721.984833,157.075
401.4794444,1723.374464,157.075
401.9340707,1724.764095,157.075
402.388697,1726.153727,157.075
402.8433232,1727.543358,157.075
403.2979495,1728.932989,157.075
403.7525758,1730.32262,157.075
404.207202,1731.712251,157.075
404.6618283,1733.101882,157.075
405.1164545,1734.491514,157.075
405.5710808,1735.881145,157.075
406.0257071,1737.270776,157.075
406.4803333,1738.660407,157.075
406.9349596,1740.050038,157.075
407.3895859,1741.43967,157.075
407.8442121,1742.829301,157.075
408.2988384,1744.218932,157.075
408.7534646,1745.608563,157.075
409.2080909,1746.998194,157.075
409.6627172,1748.387825,157.075
410.1173434,1749.777457,157.075
410.5719697,1751.167088,157.075
411.026596,1752.556719,157.075
411.4812222,1753.94635,157.075
411.9358485,1755.335981,157.075
412.3904747,1756.725613,157.075
412.845101,1758.115244,157.075
413.2997273,1759.504875,157.075
413.7543535,1760.894506,157.075
414.2089798,1762.284137,157.075
414.6636061,1763.673768,157.075
415.1182323,1765.0634,157.075
415.5728586,1766.453031,157.075
416.0274848,1767.842662,157.075
416.4821111,1769.232293,157.075
416.9367374,1770.621924,157.075
417.3913636,1772.011555,157.075
417.8459899,1773.401187,157.075
418.3006162,1774.790818,157.075
418.7552424,1776.180449,157.075
419.2098687,1777.57008,157.075
419.6644949,1778.959711,157.075
420.1191212,1780.349343,157.075
420.5737475,1781.738974,157.075
421.0283737,1783.128605,157.075
421.483,1784.518236,157.075
376.475,1181.36904,166.5696364
376.9296263,1194.685396,166.5696364
377.3842525,1208.001752,166.5696364
377.8388788,1221.318107,166.5696364
378.2935051,1234.634463,166.5696364
378.7481313,1247.950819,166.5696364
379.2027576,1261.267175,166.5696364
379.6573838,1274.58353,166.5696364
380.1120101,1287.899886,166.5696364
380.5666364,1301.216242,166.5696364
381.0212626,1314.532598,166.5696364
381.4758889,1327.848953,166.5696364
381.9305152,1341.165309,166.5696364
382.3851414,1354.481665,166.5696364
382.8397677,1367.798021,166.5696364
383.2943939,1381.114376,166.5696364
383.7490202,1394.430732,166.5696364
384.2036465,1407.747088,166.5696364
384.6582727,1421.063444,166.5696364
385.112899,1434.379799,166.5696364
385.5675253,1447.696155,166.5696364
386.0221515,1461.012511,166.5696364
386.4767778,1474.328867,166.5696364
386.931404,1487.645223,166.5696364
387.3860303,1500.961578,166.5696364
387.8406566,1514.277934,166.5696364
388.2952828,1527.59429,166.5696364
388.7499091,1540.910646,166.5696364
389.2045354,1554.227001,166.5696364
389.6591616,1567.543357,166.5696364
390.1137879,1580.859713,166.5696364
390.5684141,1594.176069,166.5696364
391.0230404,1607.492424,166.5696364
391.4776667,1620.80878,166.5696364
391.9322929,1634.125136,166.5696364
392.3869192,1647.441492,166.5696364
392.8415455,1660.757847,166.5696364
393.2961717,1674.074203,166.5696364
393.750798,1687.390559,166.5696364
394.2054242,1700.706915,166.5696364
394.6600505,1714.02327,166.5696364
395.1146768,1727.339626,166.5696364
395.569303,1740.655982,166.5696364
396.0239293,1753.972338,166.5696364
396.4785556,1767.288693,166.5696364
396.9331818,1780.605049,166.5696364
397.3878081,1793.921405,166.5696364
397.8424343,1807.237761,166.5696364
398.2970606,1820.554116,166.5696364
398.7516869,1833.870472,166.5696364
399.2063131,1847.186828,166.5696364
399.6609394,1860.503184,166.5696364
400.1155657,1873.819539,166.5696364
400.5701919,1887.135895,166.5696364
401.0248182,1900.452251,166.5696364
401.4794444,1913.768607,166.5696364
401.9340707,1927.084963,166.5696364
402.388697,1940.401318,166.5696364
402.8433232,1953.717674,166.5696364
403.2979495,1967.03403,166.5696364
403.7525758,1980.350386,166.5696364
404.207202,1993.666741,166.5696364
404.6618283,2006.983097,166.5696364
405.1164545,2020.299453,166.5696364
405.5710808,2033.615809,166.5696364
406.0257071,2046.932164,166.5696364
406.4803333,2060.24852,166.5696364
406.9349596,2073.564876,166.5696364
407.3895859,2086.881232,166.5696364
407.8442121,2100.197587,166.5696364
408.2988384,2113.513943,166.5696364
408.7534646,2126.830299,166.5696364
409.2080909,2140.146655,166.5696364
409.6627172,2153.46301,166.5696364
410.1173434,2166.779366,166.5696364
410.5719697,2180.095722,166.5696364
411.026596,2193.412078,166.5696364
411.4812222,2206.728433,166.5696364
411.9358485,2220.044789,166.5696364
412.3904747,2233.361145,166.5696364
412.845101,2246.677501,166.5696364
413.2997273,2259.993856,166.5696364
413.7543535,2273.310212,166.5696364
414.2089798,2286.626568,166.5696364
414.6636061,2299.942924,166.5696364
415.1182323,2313.259279,166.5696364
415.5728586,2326.575635,166.5696364
416.0274848,2339.891991,166.5696364
416.4821111,2353.208347,166.5696364
416.9367374,2366.524703,166.5696364
417.3913636,2379.841058,166.5696364
417.8459899,2393.157414,166.5696364
418.3006162,2406.47377,166.5696364
418.7552424,2419.790126,166.5696364
419.2098687,2433.106481,166.5696364
419.6644949,2446.422837,166.5696364
420.1191212,2459.739193,166.5696364
420.5737475,2473.055549,166.5696364
421.0283737,2486.371904,166.5696364
421.483,2499.68826,166.5696364
376.475,539.6294956,177.227
376.9296263,568.5927484,177.227
377.3842525,597.5560012,177.227
377.8388788,626.5192539,177.227
378.2935051,655.4825067,177.227
378.7481313,684.4457595,177.227
379.2027576,713.4090123,177.227
379.6573838,742.3722651,177.227
380.1120101,771.3355178,177.227
380.5666364,800.2987706,177.227
381.0212626,829.2620234,177.227
381.4758889,858.2252762,177.227
381.9305152,887.1885289,177.227
382.3851414,916.1517817,177.227
382.8397677,945.1150345,177.227
383.2943939,974.0782873,177.227
383.7490202,1003.04154,177.227
384.2036465,1032.004793,177.227
384.6582727,1060.968046,177.227
385.112899,1089.931298,177.227
385.5675253,1118.894551,177.227
386.0221515,1147.857804,177.227
386.4767778,1176.821057,177.227
386.931404,1205.784309,177.227
387.3860303,1234.747562,177.227
387.8406566,1263.710815,177.227
388.2952828,1292.674068,177.227
388.7499091,1321.637321,177.227
389.2045354,1350.600573,177.227
389.6591616,1379.563826,177.227
390.1137879,1408.527079,177.227
390.5684141,1437.490332,177.227
391.0230404,1466.453584,177.227
391.4776667,1495.416837,177.227
391.9322929,1524.38009,177.227
392.3869192,1553.343343,177.227
392.8415455,1582.306596,177.227
393.2961717,1611.269848,177.227
393.750798,1640.233101,177.227
394.2054242,1669.196354,177.227
394.6600505,1698.159607,177.227
395.1146768,1727.122859,177.227
395.569303,1756.086112,177.227
396.0239293,1785.049365,177.227
396.4785556,1814.012618,177.227
396.9331818,1842.975871,177.227
397.3878081,1871.939123,177.227
397.8424343,1900.902376,177.227
398.2970606,1929.865629,177.227
398.7516869,1958.828882,177.227
399.2063131,1987.792134,177.227
399.6609394,2016.755387,177.227
400.1155657,2045.71864,177.227
400.5701919,2074.681893,177.227
401.0248182,2103.645146,177.227
401.4794444,2132.608398,177.227
401.9340707,2161.571651,177.227
402.388697,2190.534904,177.227
402.8433232,2219.498157,177.227
403.2979495,2248.461409,177.227
403.7525758,2277.424662,177.227
404.207202,2306.387915,177.227
404.6618283,2335.351168,177.227
405.1164545,2364.314421,177.227
405.5710808,2393.277673,177.227
406.0257071,2422.240926,177.227
406.4803333,2451.204179,177.227
406.9349596,2480.167432,177.227
407.3895859,2509.130684,177.227
407.8442121,2538.093937,177.227
408.2988384,2567.05719,177.227
408.7534646,2596.020443,177.227
409.2080909,2624.983696,177.227
409.6627172,2653.946948,177.227
410.1173434,2682.910201,177.227
410.5719697,2711.873454,177.227
411.026596,2740.836707,177.227
411.4812222,2769.799959,177.227
411.9358485,2798.763212,177.227
412.3904747,2827.726465,177.227
412.845101,2856.689718,177.227
413.2997273,2885.652971,177.227
413.7543535,2914.616223,177.227
414.2089798,2943.579476,177.227
414.6636061,2972.542729,177.227
415.1182323,3001.505982,177.227
415.5728586,3030.469234,177.227
416.0274848,3059.432487,177.227
416.4821111,3088.39574,177.227
416.9367374,3117.358993,177.227
417.3913636,3146.322246,177.227
417.8459899,3175.285498,177.227
418.3006162,3204.248751,177.227
418.7552424,3233.212004,177.227
419.2098687,3262.175257,177.227
419.6644949,3291.138509,177.227
420.1191212,3320.101762,177.227
420.5737475,3349.065015,177.227
421.0283737,3378.028268,177.227
421.483,3406.991521,177.227
