CO2 Concentration,Predicted_GPP,Pa
362.364,1724.037302,98.722
362.7037576,1725.232636,98.722
363.0435152,1726.42797,98.722
363.3832727,1727.623303,98.722
363.7230303,1728.818637,98.722
364.0627879,1730.013971,98.722
364.4025455,1731.209304,98.722
364.742303,1732.404638,98.722
365.0820606,1733.599972,98.722
365.4218182,1734.795305,98.722
365.7615758,1735.990639,98.722
366.1013333,1737.185973,98.722
366.4410909,1738.381306,98.722
366.7808485,1739.57664,98.722
367.1206061,1740.771974,98.722
367.4603636,1741.967307,98.722
367.8001212,1743.162641,98.722
368.1398788,1744.357975,98.722
368.4796364,1745.553308,98.722
368.8193939,1746.748642,98.722
369.1591515,1747.943976,98.722
369.4989091,1749.139309,98.722
369.8386667,1750.334643,98.722
370.1784242,1751.529977,98.722
370.5181818,1752.72531,98.722
370.8579394,1753.920644,98.722
371.197697,1755.115978,98.722
371.5374545,1756.311311,98.722
371.8772121,1757.506645,98.722
372.2169697,1758.701979,98.722
372.5567273,1759.897312,98.722
372.8964848,1761.092646,98.722
373.2362424,1762.28798,98.722
373.576,1763.483313,98.722
373.9157576,1764.678647,98.722
374.2555152,1765.873981,98.722
374.5952727,1767.069314,98.722
374.9350303,1768.264648,98.722
375.2747879,1769.459982,98.722
375.6145455,1770.655315,98.722
375.954303,1771.850649,98.722
376.2940606,1773.045983,98.722
376.6338182,1774.241316,98.722
376.9735758,1775.43665,98.722
377.3133333,1776.631984,98.722
377.6530909,1777.827317,98.722
377.9928485,1779.022651,98.722
378.3326061,1780.217985,98.722
378.6723636,1781.413318,98.722
379.0121212,1782.608652,98.722
379.3518788,1783.803986,98.722
379.6916364,1784.999319,98.722
380.0313939,1786.194653,98.722
380.3711515,1787.389987,98.722
380.7109091,1788.58532,98.722
381.0506667,1789.780654,98.722
381.3904242,1790.975988,98.722
381.7301818,1792.171321,98.722
382.0699394,1793.366655,98.722
382.409697,1794.561989,98.722
382.7494545,1795.757322,98.722
383.0892121,1796.952656,98.722
383.4289697,1798.14799,98.722
383.7687273,1799.343323,98.722
384.1084848,1800.538657,98.722
384.4482424,1801.733991,98.722
384.788,1802.929324,98.722
385.1277576,1804.124658,98.722
385.4675152,1805.319992,98.722
385.8072727,1806.515325,98.722
386.1470303,1807.710659,98.722
386.4867879,1808.905993,98.722
386.8265455,1810.101326,98.722
387.166303,1811.29666,98.722
387.5060606,1812.491994,98.722
387.8458182,1813.687327,98.722
388.1855758,1814.882661,98.722
388.5253333,1816.077995,98.722
388.8650909,1817.273328,98.722
389.2048485,1818.468662,98.722
389.5446061,1819.663996,98.722
389.8843636,1820.859329,98.722
390.2241212,1822.054663,98.722
390.5638788,1823.249997,98.722
390.9036364,1824.44533,98.722
391.2433939,1825.640664,98.722
391.5831515,1826.835998,98.722
391.9229091,1828.031331,98.722
392.2626667,1829.226665,98.722
392.6024242,1830.421999,98.722
392.9421818,1831.617332,98.722
393.2819394,1832.812666,98.722
393.621697,1834.008,98.722
393.9614545,1835.203333,98.722
394.3012121,1836.398667,98.722
394.6409697,1837.594001,98.722
394.9807273,1838.789334,98.722
395.3204848,1839.984668,98.722
395.6602424,1841.180002,98.722
396,1842.375335,98.722
362.364,1131.147361,98.9578
362.7037576,1148.67333,98.9578
363.0435152,1166.1993,98.9578
363.3832727,1183.72527,98.9578
363.7230303,1201.25124,98.9578
364.0627879,1218.77721,98.9578
364.4025455,1236.303179,98.9578
364.742303,1253.829149,98.9578
365.0820606,1271.355119,98.9578
365.4218182,1288.881089,98.9578
365.7615758,1306.407059,98.9578
366.1013333,1323.933028,98.9578
366.4410909,1341.458998,98.9578
366.7808485,1358.984968,98.9578
367.1206061,1376.510938,98.9578
367.4603636,1394.036908,98.9578
367.8001212,1411.562877,98.9578
368.1398788,1429.088847,98.9578
368.4796364,1446.614817,98.9578
368.8193939,1464.140787,98.9578
369.1591515,1481.666756,98.9578
369.4989091,1499.192726,98.9578
369.8386667,1516.718696,98.9578
370.1784242,1534.244666,98.9578
370.5181818,1551.770636,98.9578
370.8579394,1569.296605,98.9578
371.197697,1586.822575,98.9578
371.5374545,1604.348545,98.9578
371.8772121,1621.874515,98.9578
372.2169697,1639.400485,98.9578
372.5567273,1656.926454,98.9578
372.8964848,1674.452424,98.9578
373.2362424,1691.978394,98.9578
373.576,1709.504364,98.9578
373.9157576,1727.030334,98.9578
374.2555152,1744.556303,98.9578
374.5952727,1762.082273,98.9578
374.9350303,1779.608243,98.9578
375.2747879,1797.134213,98.9578
375.6145455,1814.660183,98.9578
375.954303,1832.186152,98.9578
376.2940606,1849.712122,98.9578
376.6338182,1867.238092,98.9578
376.9735758,1884.764062,98.9578
377.3133333,1902.290032,98.9578
377.6530909,1919.816001,98.9578
377.9928485,1937.341971,98.9578
378.3326061,1954.867941,98.9578
378.6723636,1972.393911,98.9578
379.0121212,1989.919881,98.9578
379.3518788,2007.44585,98.9578
379.6916364,2024.97182,98.9578
380.0313939,2042.49779,98.9578
380.3711515,2060.02376,98.9578
380.7109091,2077.54973,98.9578
381.0506667,2095.075699,98.9578
381.3904242,2112.601669,98.9578
381.7301818,2130.127639,98.9578
382.0699394,2147.653609,98.9578
382.409697,2165.179579,98.9578
382.7494545,2182.705548,98.9578
383.0892121,2200.231518,98.9578
383.4289697,2217.757488,98.9578
383.7687273,2235.283458,98.9578
384.1084848,2252.809428,98.9578
384.4482424,2270.335397,98.9578
384.788,2287.861367,98.9578
385.1277576,2305.387337,98.9578
385.4675152,2322.913307,98.9578
385.8072727,2340.439277,98.9578
386.1470303,2357.965246,98.9578
386.4867879,2375.491216,98.9578
386.8265455,2393.017186,98.9578
387.166303,2410.543156,98.9578
387.5060606,2428.069126,98.9578
387.8458182,2445.595095,98.9578
388.1855758,2463.121065,98.9578
388.5253333,2480.647035,98.9578
388.8650909,2498.173005,98.9578
389.2048485,2515.698975,98.9578
389.5446061,2533.224944,98.9578
389.8843636,2550.750914,98.9578
390.2241212,2568.276884,98.9578
390.5638788,2585.802854,98.9578
390.9036364,2603.328824,98.9578
391.2433939,2620.854793,98.9578
391.5831515,2638.380763,98.9578
391.9229091,2655.906733,98.9578
392.2626667,2673.432703,98.9578
392.6024242,2690.958673,98.9578
392.9421818,2708.484642,98.9578
393.2819394,2726.010612,98.9578
393.621697,2743.536582,98.9578
393.9614545,2761.062552,98.9578
394.3012121,2778.588522,98.9578
394.6409697,2796.114491,98.9578
394.9807273,2813.640461,98.9578
395.3204848,2831.166431,98.9578
395.6602424,2848.692401,98.9578
396,2866.218371,98.9578
362.364,199.3574286,99.12
362.7037576,234.4780044,99.12
363.0435152,269.5985803,99.12
363.3832727,304.7191562,99.12
363.7230303,339.839732,99.12
364.0627879,374.9603079,99.12
364.4025455,410.0808838,99.12
364.742303,445.2014596,99.12
365.0820606,480.3220355,99.12
365.4218182,515.4426114,99.12
365.7615758,550.5631873,99.12
366.1013333,585.6837631,99.12
366.4410909,620.804339,99.12
366.7808485,655.9249149,99.12
367.1206061,691.0454907,99.12
367.4603636,726.1660666,99.12
367.8001212,761.2866425,99.12
368.1398788,796.4072183,99.12
368.4796364,831.5277942,99.12
368.8193939,866.6483701,99.12
369.1591515,901.768946,99.12
369.4989091,936.8895218,99.12
369.8386667,972.0100977,99.12
370.1784242,1007.130674,99.12
370.5181818,1042.251249,99.12
370.8579394,1077.371825,99.12
371.197697,1112.492401,99.12
371.5374545,1147.612977,99.12
371.8772121,1182.733553,99.12
372.2169697,1217.854129,99.12
372.5567273,1252.974705,99.12
372.8964848,1288.095281,99.12
373.2362424,1323.215856,99.12
373.576,1358.336432,99.12
373.9157576,1393.457008,99.12
374.2555152,1428.577584,99.12
374.5952727,1463.69816,99.12
374.9350303,1498.818736,99.12
375.2747879,1533.939312,99.12
375.6145455,1569.059887,99.12
375.954303,1604.180463,99.12
376.2940606,1639.301039,99.12
376.6338182,1674.421615,99.12
376.9735758,1709.542191,99.12
377.3133333,1744.662767,99.12
377.6530909,1779.783343,99.12
377.9928485,1814.903919,99.12
378.3326061,1850.024494,99.12
378.6723636,1885.14507,99.12
379.0121212,1920.265646,99.12
379.3518788,1955.386222,99.12
379.6916364,1990.506798,99.12
380.0313939,2025.627374,99.12
380.3711515,2060.74795,99.12
380.7109091,2095.868526,99.12
381.0506667,2130.989101,99.12
381.3904242,2166.109677,99.12
381.7301818,2201.230253,99.12
382.0699394,2236.350829,99.12
382.409697,2271.471405,99.12
382.7494545,2306.591981,99.12
383.0892121,2341.712557,99.12
383.4289697,2376.833132,99.12
383.7687273,2411.953708,99.12
384.1084848,2447.074284,99.12
384.4482424,2482.19486,99.12
384.788,2517.315436,99.12
385.1277576,2552.436012,99.12
385.4675152,2587.556588,99.12
385.8072727,2622.677164,99.12
386.1470303,2657.797739,99.12
386.4867879,2692.918315,99.12
386.8265455,2728.038891,99.12
387.166303,2763.159467,99.12
387.5060606,2798.280043,99.12
387.8458182,2833.400619,99.12
388.1855758,2868.521195,99.12
388.5253333,2903.641771,99.12
388.8650909,2938.762346,99.12
389.2048485,2973.882922,99.12
389.5446061,3009.003498,99.12
389.8843636,3044.124074,99.12
390.2241212,3079.24465,99.12
390.5638788,3114.365226,99.12
390.9036364,3149.485802,99.12
391.2433939,3184.606378,99.12
391.5831515,3219.726953,99.12
391.9229091,3254.847529,99.12
392.2626667,3289.968105,99.12
392.6024242,3325.088681,99.12
392.9421818,3360.209257,99.12
393.2819394,3395.329833,99.12
393.621697,3430.450409,99.12
393.9614545,3465.570984,99.12
394.3012121,3500.69156,99.12
394.6409697,3535.812136,99.12
394.9807273,3570.932712,99.12
395.3204848,3606.053288,99.12
395.6602424,3641.173864,99.12
396,3676.29444,99.12
