SW,Predicted_GPP,CO2
180.517,3135.02293,378.517
180.8645657,3142.162633,378.517
181.2121313,3149.302336,378.517
181.559697,3156.442039,378.517
181.9072626,3163.581743,378.517
182.2548283,3170.721446,378.517
182.6023939,3177.861149,378.517
182.9499596,3185.000852,378.517
183.2975253,3192.140556,378.517
183.6450909,3199.280259,378.517
183.9926566,3206.419962,378.517
184.3402222,3213.559666,378.517
184.6877879,3220.699369,378.517
185.0353535,3227.839072,378.517
185.3829192,3234.978775,378.517
185.7304848,3242.118479,378.517
186.0780505,3249.258182,378.517
186.4256162,3256.397885,378.517
186.7731818,3263.537588,378.517
187.1207475,3270.677292,378.517
187.4683131,3277.816995,378.517
187.8158788,3284.956698,378.517
188.1634444,3292.096401,378.517
188.5110101,3299.236105,378.517
188.8585758,3306.375808,378.517
189.2061414,3313.515511,378.517
189.5537071,3320.655215,378.517
189.9012727,3327.794918,378.517
190.2488384,3334.934621,378.517
190.596404,3342.074324,378.517
190.9439697,3349.214028,378.517
191.2915354,3356.353731,378.517
191.639101,3363.493434,378.517
191.9866667,3370.633137,378.517
192.3342323,3377.772841,378.517
192.681798,3384.912544,378.517
193.0293636,3392.052247,378.517
193.3769293,3399.19195,378.517
193.7244949,3406.331654,378.517
194.0720606,3413.471357,378.517
194.4196263,3420.61106,378.517
194.7671919,3427.750764,378.517
195.1147576,3434.890467,378.517
195.4623232,3442.03017,378.517
195.8098889,3449.169873,378.517
196.1574545,3456.309577,378.517
196.5050202,3463.44928,378.517
196.8525859,3470.588983,378.517
197.2001515,3477.728686,378.517
197.5477172,3484.86839,378.517
197.8952828,3492.008093,378.517
198.2428485,3499.147796,378.517
198.5904141,3506.287499,378.517
198.9379798,3513.427203,378.517
199.2855455,3520.566906,378.517
199.6331111,3527.706609,378.517
199.9806768,3534.846312,378.517
200.3282424,3541.986016,378.517
200.6758081,3549.125719,378.517
201.0233737,3556.265422,378.517
201.3709394,3563.405126,378.517
201.7185051,3570.544829,378.517
202.0660707,3577.684532,378.517
202.4136364,3584.824235,378.517
202.761202,3591.963939,378.517
203.1087677,3599.103642,378.517
203.4563333,3606.243345,378.517
203.803899,3613.383048,378.517
204.1514646,3620.522752,378.517
204.4990303,3627.662455,378.517
204.846596,3634.802158,378.517
205.1941616,3641.941861,378.517
205.5417273,3649.081565,378.517
205.8892929,3656.221268,378.517
206.2368586,3663.360971,378.517
206.5844242,3670.500675,378.517
206.9319899,3677.640378,378.517
207.2795556,3684.780081,378.517
207.6271212,3691.919784,378.517
207.9746869,3699.059488,378.517
208.3222525,3706.199191,378.517
208.6698182,3713.338894,378.517
209.0173838,3720.478597,378.517
209.3649495,3727.618301,378.517
209.7125152,3734.758004,378.517
210.0600808,3741.897707,378.517
210.4076465,3749.03741,378.517
210.7552121,3756.177114,378.517
211.1027778,3763.316817,378.517
211.4503434,3770.45652,378.517
211.7979091,3777.596224,378.517
212.1454747,3784.735927,378.517
212.4930404,3791.87563,378.517
212.8406061,3799.015333,378.517
213.1881717,3806.155037,378.517
213.5357374,3813.29474,378.517
213.883303,3820.434443,378.517
214.2308687,3827.574146,378.517
214.5784343,3834.71385,378.517
214.926,3841.853553,378.517
180.517,3242.558317,392.4676364
180.8645657,3248.828844,392.4676364
181.2121313,3255.099372,392.4676364
181.559697,3261.3699,392.4676364
181.9072626,3267.640428,392.4676364
182.2548283,3273.910955,392.4676364
182.6023939,3280.181483,392.4676364
182.9499596,3286.452011,392.4676364
183.2975253,3292.722539,392.4676364
183.6450909,3298.993066,392.4676364
183.9926566,3305.263594,392.4676364
184.3402222,3311.534122,392.4676364
184.6877879,3317.80465,392.4676364
185.0353535,3324.075177,392.4676364
185.3829192,3330.345705,392.4676364
185.7304848,3336.616233,392.4676364
186.0780505,3342.886761,392.4676364
186.4256162,3349.157288,392.4676364
186.7731818,3355.427816,392.4676364
187.1207475,3361.698344,392.4676364
187.4683131,3367.968872,392.4676364
187.8158788,3374.2394,392.4676364
188.1634444,3380.509927,392.4676364
188.5110101,3386.780455,392.4676364
188.8585758,3393.050983,392.4676364
189.2061414,3399.321511,392.4676364
189.5537071,3405.592038,392.4676364
189.9012727,3411.862566,392.4676364
190.2488384,3418.133094,392.4676364
190.596404,3424.403622,392.4676364
190.9439697,3430.674149,392.4676364
191.2915354,3436.944677,392.4676364
191.639101,3443.215205,392.4676364
191.9866667,3449.485733,392.4676364
192.3342323,3455.75626,392.4676364
192.681798,3462.026788,392.4676364
193.0293636,3468.297316,392.4676364
193.3769293,3474.567844,392.4676364
193.7244949,3480.838371,392.4676364
194.0720606,3487.108899,392.4676364
194.4196263,3493.379427,392.4676364
194.7671919,3499.649955,392.4676364
195.1147576,3505.920482,392.4676364
195.4623232,3512.19101,392.4676364
195.8098889,3518.461538,392.4676364
196.1574545,3524.732066,392.4676364
196.5050202,3531.002593,392.4676364
196.8525859,3537.273121,392.4676364
197.2001515,3543.543649,392.4676364
197.5477172,3549.814177,392.4676364
197.8952828,3556.084704,392.4676364
198.2428485,3562.355232,392.4676364
198.5904141,3568.62576,392.4676364
198.9379798,3574.896288,392.4676364
199.2855455,3581.166815,392.4676364
199.6331111,3587.437343,392.4676364
199.9806768,3593.707871,392.4676364
200.3282424,3599.978399,392.4676364
200.6758081,3606.248926,392.4676364
201.0233737,3612.519454,392.4676364
201.3709394,3618.789982,392.4676364
201.7185051,3625.06051,392.4676364
202.0660707,3631.331037,392.4676364
202.4136364,3637.601565,392.4676364
202.761202,3643.872093,392.4676364
203.1087677,3650.142621,392.4676364
203.4563333,3656.413148,392.4676364
203.803899,3662.683676,392.4676364
204.1514646,3668.954204,392.4676364
204.4990303,3675.224732,392.4676364
204.846596,3681.495259,392.4676364
205.1941616,3687.765787,392.4676364
205.5417273,3694.036315,392.4676364
205.8892929,3700.306843,392.4676364
206.2368586,3706.57737,392.4676364
206.5844242,3712.847898,392.4676364
206.9319899,3719.118426,392.4676364
207.2795556,3725.388954,392.4676364
207.6271212,3731.659481,392.4676364
207.9746869,3737.930009,392.4676364
208.3222525,3744.200537,392.4676364
208.6698182,3750.471065,392.4676364
209.0173838,3756.741592,392.4676364
209.3649495,3763.01212,392.4676364
209.7125152,3769.282648,392.4676364
210.0600808,3775.553176,392.4676364
210.4076465,3781.823703,392.4676364
210.7552121,3788.094231,392.4676364
211.1027778,3794.364759,392.4676364
211.4503434,3800.635287,392.4676364
211.7979091,3806.905815,392.4676364
212.1454747,3813.176342,392.4676364
212.4930404,3819.44687,392.4676364
212.8406061,3825.717398,392.4676364
213.1881717,3831.987926,392.4676364
213.5357374,3838.258453,392.4676364
213.883303,3844.528981,392.4676364
214.2308687,3850.799509,392.4676364
214.5784343,3857.070037,392.4676364
214.926,3863.340564,392.4676364
180.517,3323.95283,403.027
180.8645657,3329.565471,403.027
181.2121313,3335.178112,403.027
181.559697,3340.790753,403.027
181.9072626,3346.403393,403.027
182.2548283,3352.016034,403.027
182.6023939,3357.628675,403.027
182.9499596,3363.241316,403.027
183.2975253,3368.853957,403.027
183.6450909,3374.466598,403.027
183.9926566,3380.079239,403.027
184.3402222,3385.69188,403.027
184.6877879,3391.304521,403.027
185.0353535,3396.917162,403.027
185.3829192,3402.529802,403.027
185.7304848,3408.142443,403.027
186.0780505,3413.755084,403.027
186.4256162,3419.367725,403.027
186.7731818,3424.980366,403.027
187.1207475,3430.593007,403.027
187.4683131,3436.205648,403.027
187.8158788,3441.818289,403.027
188.1634444,3447.43093,403.027
188.5110101,3453.043571,403.027
188.8585758,3458.656211,403.027
189.2061414,3464.268852,403.027
189.5537071,3469.881493,403.027
189.9012727,3475.494134,403.027
190.2488384,3481.106775,403.027
190.596404,3486.719416,403.027
190.9439697,3492.332057,403.027
191.2915354,3497.944698,403.027
191.639101,3503.557339,403.027
191.9866667,3509.16998,403.027
192.3342323,3514.78262,403.027
192.681798,3520.395261,403.027
193.0293636,3526.007902,403.027
193.3769293,3531.620543,403.027
193.7244949,3537.233184,403.027
194.0720606,3542.845825,403.027
194.4196263,3548.458466,403.027
194.7671919,3554.071107,403.027
195.1147576,3559.683748,403.027
195.4623232,3565.296389,403.027
195.8098889,3570.909029,403.027
196.1574545,3576.52167,403.027
196.5050202,3582.134311,403.027
196.8525859,3587.746952,403.027
197.2001515,3593.359593,403.027
197.5477172,3598.972234,403.027
197.8952828,3604.584875,403.027
198.2428485,3610.197516,403.027
198.5904141,3615.810157,403.027
198.9379798,3621.422797,403.027
199.2855455,3627.035438,403.027
199.6331111,3632.648079,403.027
199.9806768,3638.26072,403.027
200.3282424,3643.873361,403.027
200.6758081,3649.486002,403.027
201.0233737,3655.098643,403.027
201.3709394,3660.711284,403.027
201.7185051,3666.323925,403.027
202.0660707,3671.936566,403.027
202.4136364,3677.549206,403.027
202.761202,3683.161847,403.027
203.1087677,3688.774488,403.027
203.4563333,3694.387129,403.027
203.803899,3699.99977,403.027
204.1514646,3705.612411,403.027
204.4990303,3711.225052,403.027
204.846596,3716.837693,403.027
205.1941616,3722.450334,403.027
205.5417273,3728.062975,403.027
205.8892929,3733.675615,403.027
206.2368586,3739.288256,403.027
206.5844242,3744.900897,403.027
206.9319899,3750.513538,403.027
207.2795556,3756.126179,403.027
207.6271212,3761.73882,403.027
207.9746869,3767.351461,403.027
208.3222525,3772.964102,403.027
208.6698182,3778.576743,403.027
209.0173838,3784.189384,403.027
209.3649495,3789.802024,403.027
209.7125152,3795.414665,403.027
210.0600808,3801.027306,403.027
210.4076465,3806.639947,403.027
210.7552121,3812.252588,403.027
211.1027778,3817.865229,403.027
211.4503434,3823.47787,403.027
211.7979091,3829.090511,403.027
212.1454747,3834.703152,403.027
212.4930404,3840.315792,403.027
212.8406061,3845.928433,403.027
213.1881717,3851.541074,403.027
213.5357374,3857.153715,403.027
213.883303,3862.766356,403.027
214.2308687,3868.378997,403.027
214.5784343,3873.991638,403.027
214.926,3879.604279,403.027
